Energy (in eV), backscattering yield of material ITOC-NASCAP at incidence 90.0 degree
   X,       Y
0.0, Infinity
10.0, Infinity
20.0, Infinity
30.0, Infinity
40.0, Infinity
50.0, Infinity
60.0, 1.0000001
70.0, 1.0000001
80.0, 1.0000001
90.0, 1.0000001
100.0, 1.0000001
110.0, 1.0000001
120.0, 1.0000001
130.0, 1.0000001
140.0, 1.0000001
150.0, 1.0000001
160.0, 1.0000001
170.0, 1.0000001
180.0, 1.0000001
190.0, 1.0000001
200.0, 1.0000001
210.0, 1.0000001
220.0, 1.0000001
230.0, 1.0000001
240.0, 1.0000001
250.0, 1.0000001
260.0, 1.0000001
270.0, 1.0000001
280.0, 1.0000001
290.0, 1.0000001
300.0, 1.0000001
310.0, 1.0000001
320.0, 1.0000001
330.0, 1.0000001
340.0, 1.0000001
350.0, 1.0000001
360.0, 1.0000001
370.0, 1.0000001
380.0, 1.0000001
390.0, 1.0000001
400.0, 1.0000001
410.0, 1.0000001
420.0, 1.0000001
430.0, 1.0000001
440.0, 1.0000001
450.0, 1.0000001
460.0, 1.0000001
470.0, 1.0000001
480.0, 1.0000001
490.0, 1.0000001
500.0, 1.0000001
510.0, 1.0000001
520.0, 1.0000001
530.0, 1.0000001
540.0, 1.0000001
550.0, 1.0000001
560.0, 1.0000001
570.0, 1.0000001
580.0, 1.0000001
590.0, 1.0000001
600.0, 1.0
610.0, 1.0
620.0, 1.0
630.0, 1.0
640.0, 1.0
650.0, 1.0
660.0, 1.0
670.0, 1.0
680.0, 1.0
690.0, 1.0
700.0, 1.0
710.0, 1.0
720.0, 1.0
730.0, 1.0
740.0, 1.0
750.0, 1.0
760.0, 1.0
770.0, 1.0
780.0, 1.0
790.0, 1.0
800.0, 1.0
810.0, 1.0
820.0, 1.0
830.0, 1.0
840.0, 1.0
850.0, 1.0
860.0, 1.0
870.0, 1.0
880.0, 1.0
890.0, 1.0
900.0, 1.0
910.0, 1.0
920.0, 1.0
930.0, 1.0
940.0, 1.0
950.0, 1.0
960.0, 1.0
970.0, 1.0
980.0, 1.0
990.0, 1.0
1000.0, 1.0
1010.0, 1.0
1020.0, 1.0
1030.0, 1.0
1040.0, 1.0
1050.0, 1.0
1060.0, 1.0
1070.0, 1.0
1080.0, 1.0
1090.0, 1.0
1100.0, 1.0
1110.0, 1.0
1120.0, 1.0
1130.0, 1.0
1140.0, 1.0
1150.0, 1.0
1160.0, 1.0
1170.0, 1.0
1180.0, 1.0
1190.0, 1.0
1200.0, 1.0
1210.0, 1.0
1220.0, 1.0
1230.0, 1.0
1240.0, 1.0
1250.0, 1.0
1260.0, 1.0
1270.0, 1.0
1280.0, 1.0
1290.0, 1.0
1300.0, 1.0
1310.0, 1.0
1320.0, 1.0
1330.0, 1.0
